MONTH,DAY_OF_MONTH,DAY_OF_WEEK,TAIL_NUM,FL_NUM,ORIGIN,DEST,DEP_TIME,DEP_DEL15,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE,DEP_CENT,ARR_CENT,ARR_DELAY,DEP_DELAY
1.0,1.0,5.0,470,1399.0,0,4,1907.0,0.0,2102.0,0.0,0.0,0.0,2182.0,1580.25,1003.0,-41.0,2.0
1.0,1.0,5.0,718,1476.0,1,3,1344.0,0.0,1439.0,0.0,0.0,0.0,528.0,1103.0,1257.75,4.0,-1.0
1.0,1.0,5.0,429,1597.0,0,4,942.0,0.0,1142.0,0.0,0.0,0.0,2182.0,1580.25,1003.0,-33.0,2.0
1.0,1.0,5.0,298,1768.0,4,3,820.0,0.0,1345.0,0.0,0.0,0.0,1399.0,1003.0,1257.75,10.0,1.0
1.0,1.0,5.0,470,1823.0,4,1,2256.0,0.0,615.0,0.0,0.0,0.0,1927.0,1003.0,1103.0,8.0,-4.0
1.0,1.0,5.0,636,1975.0,3,0,1127.0,0.0,1441.0,0.0,0.0,0.0,907.0,1257.75,1580.25,-18.0,-2.0
1.0,2.0,6.0,755,2074.0,0,3,1745.0,0.0,1920.0,0.0,0.0,0.0,907.0,1580.25,1257.75,-11.0,0.0
1.0,2.0,6.0,300,2151.0,3,4,1751.0,0.0,1908.0,0.0,0.0,0.0,1399.0,1257.75,1003.0,-21.0,11.0
1.0,2.0,6.0,414,2221.0,3,4,1115.0,0.0,1255.0,0.0,0.0,0.0,1399.0,1257.75,1003.0,-10.0,0.0
1.0,2.0,6.0,721,2291.0,3,0,1443.0,0.0,1800.0,0.0,0.0,0.0,907.0,1257.75,1580.25,-1.0,13.0
1.0,2.0,6.0,381,2350.0,0,2,828.0,0.0,1029.0,0.0,0.0,0.0,760.0,1580.25,671.5,-9.0,3.0
1.0,2.0,6.0,272,2444.0,0,4,1355.0,0.0,1605.0,0.0,0.0,0.0,2182.0,1580.25,1003.0,-16.0,10.0
1.0,2.0,6.0,377,2610.0,0,3,721.0,0.0,903.0,0.0,0.0,0.0,907.0,1580.25,1257.75,-1.0,-4.0
1.0,2.0,6.0,293,2826.0,1,4,841.0,0.0,1023.0,0.0,0.0,0.0,1927.0,1103.0,1003.0,-24.0,6.0
1.0,2.0,6.0,588,2845.0,1,0,1622.0,0.0,1805.0,0.0,0.0,0.0,594.0,1103.0,1580.25,-25.0,-2.0
1.0,3.0,7.0,705,86.0,3,1,1337.0,0.0,1616.0,0.0,0.0,0.0,528.0,1257.75,1103.0,-4.0,-8.0
1.0,3.0,7.0,194,423.0,2,0,1258.0,0.0,1519.0,0.0,0.0,0.0,760.0,671.5,1580.25,-19.0,-2.0
1.0,2.0,6.0,303,1823.0,1,4,1724.0,0.0,1905.0,0.0,0.0,0.0,1927.0,1103.0,1003.0,-24.0,-4.0
1.0,2.0,6.0,466,1972.0,4,2,715.0,0.0,1519.0,0.0,0.0,0.0,2422.0,1003.0,671.5,-11.0,0.0
1.0,2.0,6.0,765,2005.0,0,1,723.0,0.0,920.0,0.0,0.0,0.0,594.0,1580.25,1103.0,0.0,-2.0
1.0,2.0,6.0,453,2039.0,0,4,847.0,0.0,1101.0,0.0,0.0,0.0,2182.0,1580.25,1003.0,2.0,17.0
1.0,3.0,7.0,619,902.0,0,1,1454.0,0.0,1643.0,0.0,0.0,0.0,594.0,1580.25,1103.0,-12.0,-2.0
1.0,3.0,7.0,302,997.0,3,1,832.0,0.0,1105.0,0.0,0.0,0.0,528.0,1257.75,1103.0,-11.0,-1.0
1.0,3.0,7.0,471,1108.0,3,0,1510.0,0.0,1818.0,0.0,0.0,0.0,907.0,1257.75,1580.25,-17.0,2.0
1.0,3.0,7.0,360,1231.0,0,1,1339.0,0.0,1524.0,0.0,0.0,0.0,594.0,1580.25,1103.0,-13.0,-1.0
1.0,3.0,7.0,270,1291.0,4,0,750.0,0.0,1528.0,0.0,0.0,0.0,2182.0,1003.0,1580.25,-1.0,5.0
1.0,3.0,7.0,307,1397.0,3,4,1439.0,0.0,1604.0,0.0,0.0,0.0,1399.0,1257.75,1003.0,-21.0,-1.0
1.0,3.0,7.0,183,1444.0,1,0,2021.0,0.0,2211.0,0.0,0.0,0.0,594.0,1103.0,1580.25,-16.0,1.0
1.0,3.0,7.0,433,1491.0,3,0,608.0,0.0,922.0,0.0,0.0,0.0,907.0,1257.75,1580.25,-18.0,-2.0
1.0,3.0,7.0,10,1573.0,4,0,4.0,0.0,736.0,0.0,0.0,0.0,2182.0,1003.0,1580.25,4.0,9.0
1.0,3.0,7.0,270,1646.0,0,4,1621.0,0.0,1838.0,0.0,0.0,0.0,2182.0,1580.25,1003.0,-21.0,1.0
1.0,3.0,7.0,124,1734.0,3,1,1151.0,0.0,1425.0,0.0,0.0,0.0,528.0,1257.75,1103.0,-8.0,-1.0
1.0,4.0,1.0,317,1587.0,1,0,1350.0,0.0,1532.0,0.0,0.0,0.0,594.0,1103.0,1580.25,-17.0,5.0
1.0,4.0,1.0,223,1699.0,1,4,1236.0,0.0,1437.0,0.0,0.0,0.0,1927.0,1103.0,1003.0,17.0,17.0
1.0,4.0,1.0,457,1770.0,4,3,1521.0,0.0,2048.0,0.0,0.0,0.0,1399.0,1003.0,1257.75,16.0,1.0
1.0,2.0,6.0,717,991.0,0,1,1205.0,0.0,1405.0,0.0,0.0,0.0,594.0,1580.25,1103.0,1.0,0.0
1.0,2.0,6.0,721,1104.0,0,3,1219.0,0.0,1355.0,0.0,0.0,0.0,907.0,1580.25,1257.75,10.0,14.0
1.0,3.0,7.0,488,1770.0,4,3,1602.0,0.0,2108.0,0.0,0.0,0.0,1399.0,1003.0,1257.75,31.0,17.0
1.0,3.0,7.0,671,1842.0,1,0,1003.0,0.0,1149.0,0.0,0.0,0.0,594.0,1103.0,1580.25,-20.0,-2.0
1.0,3.0,7.0,598,1975.0,3,0,1155.0,0.0,1506.0,0.0,0.0,0.0,907.0,1257.75,1580.25,6.0,17.0
1.0,3.0,7.0,29,2039.0,0,4,831.0,0.0,1102.0,0.0,0.0,0.0,2182.0,1580.25,1003.0,3.0,7.0
1.0,3.0,7.0,400,2139.0,2,0,826.0,0.0,1108.0,0.0,0.0,0.0,760.0,671.5,1580.25,-3.0,-4.0
1.0,3.0,7.0,442,2193.0,3,4,650.0,0.0,819.0,0.0,0.0,0.0,1399.0,1257.75,1003.0,-25.0,0.0
1.0,3.0,7.0,417,2255.0,3,0,1319.0,0.0,1636.0,0.0,0.0,0.0,907.0,1257.75,1580.25,-13.0,-1.0
